electoral_district_id,eligible_voters,voters,voter_turnout,valid_votes,party_spd,party_cdu,party_grüne,party_die_linke,party_afd,party_fdp,others
2,30853,17809.0,57.7,17332.0,30.6,21.5,7.9,7.4,17.3,5.5,9.7
3,32816,20044.0,61.1,19549.0,28.5,21.3,9.4,7.6,16.3,7.0,9.8
4,32755,21666.0,66.1,21209.0,27.0,27.1,7.4,6.3,17.1,6.9,8.3
5,32684,23575.0,72.1,23205.0,23.8,28.0,10.2,5.6,14.9,11.4,6.2
Insgesamt,162760,103431.0,63.5,101145.0,27.4,24.6,8.7,6.6,16.6,7.6,8.5
1,32400,23888.0,73.7,23583.0,23.4,21.1,20.6,8.9,9.5,9.4,7.1
2,31727,22442.0,70.7,22134.0,23.5,21.8,18.3,8.6,11.1,8.7,8.0
3,33085,25598.0,77.4,25348.0,21.6,27.9,16.7,6.2,9.8,12.6,5.2
4,29657,21585.0,72.8,21274.0,21.3,28.6,14.1,6.2,12.6,10.9,6.3
5,30702,21068.0,68.6,20695.0,22.4,26.5,12.2,6.7,14.2,9.7,8.3
6,30919,24294.0,78.6,24022.0,20.1,25.8,17.9,6.5,10.2,14.4,5.2
7,29983,23969.0,79.9,23747.0,19.1,27.1,16.8,5.7,10.2,16.5,4.6
Insgesamt,218473,162844.0,74.5,160803.0,21.6,25.5,16.8,6.9,11.0,11.8,6.3
1,33619,22956.0,68.3,22704.0,25.2,12.8,26.0,13.7,7.8,7.9,6.5
2,32441,22810.0,70.3,22522.0,24.7,11.4,28.6,14.4,7.0,5.7,8.3
3,34015,25568.0,75.2,25252.0,26.3,15.6,25.4,10.7,7.9,7.6,6.5
4,33191,22559.0,68.0,22166.0,25.6,17.6,19.1,10.6,11.2,6.6,9.3
5,33988,21501.0,63.3,21044.0,25.7,23.8,10.8,7.5,15.4,7.9,8.9
6,33313,22305.0,67.0,21844.0,24.2,29.5,9.2,5.4,15.7,9.3,6.6
7,33307,23455.0,70.4,23050.0,22.3,29.7,10.2,5.1,15.5,10.1,7.1
Insgesamt,233874,161154.0,68.9,158582.0,24.9,19.9,18.7,9.7,11.4,7.9,7.6
1,33686,21630.0,64.2,21648.0,18.1,6.9,29.9,23.5,6.6,2.8,12.2
2,32457,20170.0,62.1,19962.0,17.9,6.5,28.7,24.7,6.7,2.6,12.9
3,33490,18272.0,54.6,17948.0,25.0,12.9,16.0,17.1,12.9,4.2,11.9
4,34599,21076.0,60.9,20674.0,27.7,24.0,6.7,6.1,19.6,7.8,8.1
5,34857,23660.0,67.9,23096.0,25.3,25.7,9.4,6.4,17.8,8.0,7.5
6,33364,23199.0,69.5,22118.0,25.7,28.8,7.5,5.3,18.4,8.5,5.7
Insgesamt,202453,128007.0,63.2,125446.0,23.3,17.8,16.2,13.6,13.8,5.7,9.6
1,33657,22587.0,67.1,22235.0,19.6,9.7,15.6,25.6,14.8,3.0,11.7
2,37359,24110.0,64.5,23714.0,20.9,11.4,8.3,23.6,20.3,3.3,12.3
3,34339,22781.0,66.3,22365.0,20.0,15.6,6.8,18.6,24.1,3.9,10.9
4,34088,23682.0,69.5,23247.0,20.2,14.2,7.8,21.7,21.2,4.9,10.0
5,29732,20475.0,68.9,20126.0,21.3,12.4,5.9,22.4,24.2,4.4,9.5
6,33253,24279.0,73.0,23888.0,20.8,14.1,9.8,23.7,18.6,4.7,8.3
Insgesamt,202428,137914.0,68.1,135575.0,20.4,12.9,9.1,22.6,20.5,4.1,10.5
1,32544,16494.0,50.7,16106.0,15.6,9.2,3.5,25.5,29.0,2.1,15.1
2,34545,20347.0,58.9,19915.0,18.4,11.0,3.6,27.9,24.7,2.5,12.0
3,33808,17316.0,51.2,16960.0,16.5,9.6,3.7,24.2,28.5,2.5,15.0
4,34019,23358.0,68.7,22967.0,17.7,20.2,5.0,24.4,20.7,3.2,8.8
5,32855,25765.0,78.4,25468.0,15.9,31.6,5.7,17.5,18.7,3.6,7.0
6,32748,18927.0,57.8,18473.0,17.6,14.9,4.7,23.8,23.6,2.7,12.7
Insgesamt,200519,122207.0,60.9,119889.0,17.0,17.3,4.5,23.5,23.6,2.8,11.3
