district,valid_second_votes,new_mandates,valid_second_votes_to_consider,calculation_number,integer,fraction,basic_mandates,overhang_mandates,compensatory_mandates
Mitte,19746,34,279017,2.4062,2,0,2,0,0
Friedrichshain-Kreuzberg,15682,34,279017,1.911,1,1,2,0,0
Pankow,30464,34,279017,3.7122,3,1,4,0,1
Charlottenburg-Wilmersdorf,29232,34,279017,3.5621,3,0,3,0,0
Spandau,19002,34,279017,2.3155,2,0,2,0,0
Steglitz-Zehlendorf,30587,34,279017,3.7272,3,1,4,0,1
Tempelhof-Schöneberg,29421,34,279017,3.5851,3,1,4,0,1
Neukölln,23535,34,279017,2.8679,2,1,3,0,1
Treptow-Köpenick,23446,34,279017,2.857,2,1,3,0,1
Marzahn-Hellersdorf,17456,34,279017,2.1271,2,0,2,0,0
Lichtenberg,18958,34,279017,2.3102,2,0,2,0,0
Reinickendorf,21488,34,279017,2.6184,2,1,3,0,1
